"class";"age";"si";"dens";"aspect";"shannon";"x";"y";"z"
0;80;29,31;312,168518066406;178,162414550781;0,403482019901276;539396,023229869;342014,421746724;244,010391235352
0;92;23,61;426,017150878906;215,833480834961;0,402393341064453;513721,151134862;321344,473021255;263,736541748047
0;87;27,33;325,270660400391;258,477691650391;0,498532354831696;502974,022210598;299925,134450253;308,940856933594
0;92;31,39;142,403732299805;172,11149597168;0,440584301948547;420756,322078766;330057,461534446;173,054000854492
0;79;30,56;269,491027832031;198,696792602539;0,557561099529266;524926,468638914;287904,381588639;345,006927490234
0;69;31,39;392,014099121094;263,149749755859;0,349389970302582;503599,138122388;297026,259476345;302,536407470703
0;65;34,22;246,095123291016;170,013153076172;0,547565877437592;489541,557725487;245972,30588812;274,173797607422
0;51;36,53;332,414581298828;244,325057983398;0,55272251367569;394609,088046134;344509,057754147;144,925674438477
0;37;32,31;559,027465820312;282,326232910156;0,402393341064453;513876,232616694;320038,364732031;263,541778564453
0;98;28,73;196,572448730469;113,151435852051;0,437885671854019;469238,238087984;335326,66732529;248,822113037109
0;42;33,96;373,56201171875;160,641036987305;0,565592408180237;531571,556859536;318819,883220411;267,824157714844
0;63;30,36;246,476211547852;108,518486022949;0,292672783136368;484672,431310065;305079,776521959;270,616180419922
0;26;39,57;572,591552734375;254,093521118164;0,435892373323441;443370,942106254;338245,269244227;192,29866027832
0;56;32,84;435,397521972656;213,274169921875;0,390775918960571;461816,330580555;337344,042080374;266,327423095703
0;37;39,38;329,393402099609;297,277709960938;0,583910346031189;416524,968360235;338893,768269329;161,671585083008
0;72;33,84;221,730697631836;42,8796691894531;0,312021911144257;472695,284405347;300433,505560804;242,907028198242
0;106;28,72;254,052215576172;288,784729003906;0,632467806339264;494704,134430427;322651,273312459;290,358093261719
0;29;33,95;578,515808105469;104,948875427246;0,42014080286026;443424,831350816;328536,724973136;207,267486572266
0;56;35,69;350,352630615234;254,531509399414;0,566396296024323;466853,84550639;263278,772587907;238,626525878906
0;59;32,13;420,201721191406;248,545150756836;0,255196630954742;504583,666700154;296724,570717254;303,721954345703
0;43;34;366,870758056641;177,252716064453;0,433540344238281;499350,967997418;299104,517115863;302,422241210938
0;53;30,08;326,421203613281;265,610656738281;0,376112848520279;536387,570209312;300774,523809545;390,300537109375
0;40;36,89;356,813781738281;178,481704711914;0,532861649990082;495059,35303489;240124,859612275;271,462219238281
0;95;29,4;247,212631225586;193,085510253906;0,479854613542557;472928,25200144;343455,325573312;236,512588500977
0;102;20,43;191,974822998047;216,142028808594;0,280842691659927;479129,311897225;302547,990438183;242,129165649414
0;54;32,39;356,468994140625;81,5307388305664;0,423452019691467;436197,517638296;346295,424253338;179,499923706055
0;60;32,91;391,838104248047;238,491424560547;0,327415466308594;467230,873569653;303837,30804129;231,664001464844
0;60;30,31;327,980377197266;242,016494750977;0,393338471651077;535568,784837788;336428,265349452;232,394073486328
0;46;33,28;318,661499023438;226,518966674805;0,356198459863663;483817,075907897;299156,318509425;264,828918457031
0;24;36,63;414,291809082031;295,052520751953;0,492559552192688;425569,604551325;329554,635188862;170,133834838867
0;42;35,57;484,131011962891;216,80680847168;0,581162571907043;404396,751410206;336207,917915989;150,865859985352
0;40;36,03;352,060485839844;49,3375854492188;0,390637755393982;540255,936590406;343054,257909783;251,883712768555
0;54;34,03;389,483978271484;170,698547363281;0,637544333934784;396404,739234715;312282,725069887;197,484710693359
0;98;26,7;268,978820800781;149,646759033203;0,370696842670441;525605,457837316;252728,901403405;272,985504150391
0;86;24,25;373,740417480469;126,918563842773;0,483166486024857;534307,207913311;264867,773999462;344,702667236328
0;65;29,28;447,2353515625;139,730255126953;0,316138029098511;528904,19670249;349415,183134142;220,592910766602
0;73;28,93;163,93359375;148,170593261719;0,259880214929581;467396,462366566;307481,754943973;232,961303710938
0;28;37,62;540,158996582031;111,863067626953;0,349998474121094;490760,310425713;303453,382813235;283,855316162109
0;22;33,95;296,018859863281;100,171379089355;0,594364166259766;410424,211426141;294709,964210982;193,785797119141
0;29;38,72;444,322601318359;144,544235229492;0,519911527633667;442304,207463141;308658,184191397;181,23388671875
0;33;35,8;451,096710205078;114,74813079834;0,354034304618835;553117,535916978;325453,800276816;240,058135986328
0;21;30,2;517,676391601562;102,136428833008;0,46421954035759;491252,260155984;318776,198324631;284,817535400391
0;38;32,22;541,4521484375;151,861053466797;0,416885167360306;434728,164399158;344005,300875749;184,219573974609
0;42;33,99;358,477325439453;311,068878173828;0,518786072731018;517060,789906803;324971,111086072;301,345550537109
0;28;37,11;519,739624023438;152,69548034668;0,344584912061691;456412,553865275;338881,63636794;226,757629394531
0;60;35,45;228,369735717773;164,161651611328;0,532861590385437;494583,095394214;240357,684484187;271,745056152344
0;50;38,29;319,675384521484;190,8671875;0,308961570262909;454803,007465306;320170,473340053;235,410690307617
0;40;37,64;424,578399658203;214,099670410156;0,526372194290161;428328,413086594;297981,178079576;172,56526184082
0;85;28,49;287,272705078125;141,83723449707;0,364743918180466;502890,551018251;293493,943875649;306,603973388672
0;92;26,94;253,642562866211;244,295150756836;0,599393367767334;528880,720349034;316482,153996449;306,309600830078
0;56;28,44;548,421691894531;247,651489257812;0,315660506486893;459248,732920892;309120,205819693;218,35986328125
0;71;30,93;257,085723876953;174,778457641602;0,497041672468185;482870,624291744;292934,316667678;270,557464599609
0;26;31,42;454,43701171875;139,087051391602;0,535305261611938;480070,525224845;318787,853046731;259,185974121094
0;33;35,89;258,3818359375;220,837219238281;0,539680004119873;489818,087951726;334886,14548544;285,22607421875
0;46;32,05;438,682647705078;164,04118347168;0,280842691659927;479808,774707348;302164,284149756;253,773391723633
0;22;30,64;344,844085693359;250,653594970703;0,390049159526825;547899,631345533;314896,353140989;248,796401977539
0;58;28,72;394,93408203125;81,9520416259766;0,327098309993744;468582,928638087;338173,598707997;264,525665283203
0;105;31,52;175,628219604492;120,876991271973;0,407170623540878;446023,378462669;324692,978876483;244,331985473633
0;61;35,7;307,542816162109;198,154510498047;0,515729546546936;448900,254335616;301929,694866946;207,952682495117
0;100;30,43;201,150909423828;217,387390136719;0,520095527172089;492692,790007189;242891,815451942;274,558166503906
0;61;32,88;286,513122558594;250,550857543945;0,515112400054932;483157,676262979;327003,822652568;272,847503662109
0;89;31,09;213,980697631836;209,857528686523;0,31566047668457;458765,131081361;307639,565299124;212,800399780273
0;76;26,62;252,149307250977;169,657241821289;0,483166456222534;535038,969524718;264914,146821357;321,0146484375
0;108;27,01;148,043838500977;97,512321472168;0,53245609998703;421577,449873123;292353,780515641;206,133697509766
0;62;26,26;430,878295898438;187,943969726562;0,605151414871216;526773,250975286;331853,109204757;235,747222900391
0;116;23,12;269,135559082031;200,625259399414;0,597605228424072;483154,562769367;243080,985931325;279,786285400391
0;23;17,21;470,686218261719;96,2187728881836;0,3933385014534;536326,938629788;336292,844914514;226,502410888672
0;25;34,83;568,561828613281;118,463874816895;0,450154513120651;415523,493460077;294256,968252691;197,181365966797
0;59;31,99;433,677673339844;121,651550292969;0,40724703669548;444290,468052922;327578,182944474;215,70051574707
0;84;32,72;275,06396484375;121,762687683105;0,50105893611908;485044,216039274;352645,700380446;242,634338378906
0;88;32,81;258,670013427734;323,292938232422;0,574866890907288;503209,462878695;254978,706244011;261,376556396484
0;108;25,17;199,106430053711;169,976455688477;0,411033630371094;495897,85468068;301421,948339342;313,764953613281
0;61;31,47;260,876190185547;243,901718139648;0,667445600032806;468216,578656863;255839,178308771;271,860748291016
0;57;32,45;303,285308837891;250,388595581055;0,426815539598465;522125,842436874;315543,473754775;340,828643798828
0;53;33,12;325,141815185547;188,469573974609;0,494396835565567;427866,241511996;347650,984578722;171,715591430664
0;54;37,65;369,457458496094;135,327590942383;0,364329844713211;449197,743816654;325314,925587704;235,928207397461
0;40;35,38;275,504302978516;343,915313720703;0,539680004119873;488588,25880973;336901,269301343;292,637481689453
0;61;32,39;429,498718261719;283,894683837891;0,376836240291595;445991,524610537;329777,918917251;218,639297485352
0;64;29,7;449,085601806641;222,336212158203;0,410703390836716;508862,756776186;347283,102918094;215,325057983398
0;28;39,99;457,540374755859;235,22265625;0,354034304618835;557833,797335135;330237,809451485;228,544219970703
0;48;37,57;414,559539794922;239,073822021484;0,489684820175171;418202,378289188;297713,693572995;201,343322753906
0;23;33,09;574,63427734375;178,467849731445;0,550148487091064;429964,861984541;328624,072439664;172,784027099609
0;54;34,07;315,667724609375;211,527206420898;0,556986808776855;459573,062693415;305429,554853532;214,467178344727
0;58;29,44;483,851959228516;114,141510009766;0,414264917373657;574342,975941619;317788,036568999;245,834121704102
0;102;21,96;344,171478271484;110,037498474121;0,536277115345001;529123,079399526;320357,677439996;265,717803955078
0;37;36,88;509,749786376953;254,573196411133;0,398496210575104;538799,585160621;320189,571640128;256,291229248047
0;30;36,63;489,816528320312;250,72151184082;0,259891420602798;470273,002010626;309585,61039593;237,217056274414
0;63;34,52;292,091705322266;32,3482856750488;0,53245609998703;420100,138948427;292679,456248267;207,81657409668
0;104;25,03;223,456161499023;305,934722900391;0,562108635902405;499529,856530207;284038,324538395;288,241821289062
0;80;27,07;396,217224121094;239,735794067383;0,451652199029922;522158,176683646;349754,701535018;219,711807250977
0;81;32,75;236,788986206055;173,726684570312;0,605976641178131;482020,868565007;316812,731818527;272,177459716797
0;23;27,4;396,660369873047;99,3367080688477;0,497041612863541;484382,600714661;290715,197086822;271,856506347656
0;48;34,72;355,400909423828;98,306526184082;0,578795671463013;486015,879751959;311269,066938668;279,140075683594
0;48;36,7;362,980926513672;155,207107543945;0,349998503923416;490818,145340437;305331,653236595;296,262023925781
0;65;31,51;277,001647949219;173,775131225586;0,407170653343201;445130,338945495;323628,126713143;245,082244873047
0;91;28,4;244,067169189453;274,3056640625;0,555128574371338;486004,664253048;326695,857646383;305,8623046875
0;46;37,39;281,232330322266;156,998825073242;0,31566047668457;456187,087085582;308308,411177998;206,662979125977
0;56;30,5;272,617950439453;284,255218505859;0,620297372341156;482109,655052244;345935,043830065;228,815536499023
0;71;33,39;342,393737792969;45,9849014282227;0,503918826580048;436167,761513037;295117,517167558;222,134231567383
0;56;34,28;378,677001953125;283,377532958984;0,457655340433121;436277,791675906;334260,378144081;197,756484985352
0;119;26,84;133,896743774414;83,8144989013672;0,480337053537369;495930,712732386;331450,853282823;273,146118164062
0;84;33,01;319,056671142578;130,286987304688;0,406695067882538;501999,70771611;341859,479573358;236,452026367188
0;70;28,5;429,290435791016;134,625350952148;0,316138029098511;525568,744596252;349733,778977338;221,677764892578
0;64;30,06;361,367980957031;350,919311523438;0,256814748048782;450935,462089877;319681,092162478;226,515625
0;68;31,17;363,505798339844;162,347793579102;0,260066747665405;465957,978019784;309177,494069756;234,184616088867
0;101;26,9;202,53337097168;237,424377441406;0,598093271255493;483390,382446437;238061,967136057;265,222595214844
